training started: May11_06-08-50
epoch:00, train:0.324, valid:0.575, best:0.575, date:May11_06-14-36
epoch:01, train:0.548, valid:0.659, best:0.659, date:May11_06-20-20
epoch:02, train:0.593, valid:0.567, best:0.659, date:May11_06-26-03
epoch:03, train:0.624, valid:0.711, best:0.711, date:May11_06-31-48
epoch:04, train:0.624, valid:0.698, best:0.711, date:May11_06-37-33
epoch:05, train:0.635, valid:0.708, best:0.711, date:May11_06-43-17
epoch:06, train:0.649, valid:0.671, best:0.711, date:May11_06-49-02
epoch:07, train:0.650, valid:0.704, best:0.711, date:May11_06-54-47
epoch:08, train:0.664, valid:0.694, best:0.711, date:May11_07-00-31
epoch:09, train:0.648, valid:0.753, best:0.753, date:May11_07-06-17
epoch:10, train:0.678, valid:0.742, best:0.753, date:May11_07-12-02
epoch:11, train:0.703, valid:0.748, best:0.753, date:May11_07-17-47
epoch:12, train:0.694, valid:0.763, best:0.763, date:May11_07-23-33
epoch:13, train:0.693, valid:0.748, best:0.763, date:May11_07-29-18
epoch:14, train:0.692, valid:0.739, best:0.763, date:May11_07-35-04
epoch:15, train:0.701, valid:0.753, best:0.763, date:May11_07-40-50
epoch:16, train:0.703, valid:0.761, best:0.763, date:May11_07-46-36
epoch:17, train:0.714, valid:0.781, best:0.781, date:May11_07-52-21
epoch:18, train:0.702, valid:0.771, best:0.781, date:May11_07-58-07
epoch:19, train:0.716, valid:0.754, best:0.781, date:May11_08-03-53
epoch:20, train:0.707, valid:0.747, best:0.781, date:May11_08-09-39
epoch:21, train:0.708, valid:0.765, best:0.781, date:May11_08-15-25
epoch:22, train:0.708, valid:0.796, best:0.796, date:May11_08-21-12
epoch:23, train:0.724, valid:0.773, best:0.796, date:May11_08-26-58
epoch:24, train:0.722, valid:0.793, best:0.796, date:May11_08-32-44
epoch:25, train:0.728, valid:0.776, best:0.796, date:May11_08-38-29
epoch:26, train:0.724, valid:0.781, best:0.796, date:May11_08-44-15
epoch:27, train:0.722, valid:0.777, best:0.796, date:May11_08-50-01
epoch:28, train:0.732, valid:0.769, best:0.796, date:May11_08-55-47
epoch:29, train:0.730, valid:0.777, best:0.796, date:May11_09-01-33
epoch:30, train:0.748, valid:0.799, best:0.799, date:May11_09-07-19
epoch:31, train:0.753, valid:0.800, best:0.800, date:May11_09-13-05
epoch:32, train:0.763, valid:0.806, best:0.806, date:May11_09-18-52
epoch:33, train:0.754, valid:0.792, best:0.806, date:May11_09-24-39
epoch:34, train:0.751, valid:0.793, best:0.806, date:May11_09-30-25
epoch:35, train:0.759, valid:0.805, best:0.806, date:May11_09-36-12
epoch:36, train:0.770, valid:0.801, best:0.806, date:May11_09-41-58
epoch:37, train:0.769, valid:0.775, best:0.806, date:May11_09-47-44
epoch:38, train:0.773, valid:0.792, best:0.806, date:May11_09-53-31
epoch:39, train:0.766, valid:0.772, best:0.806, date:May11_09-59-17
epoch:40, train:0.773, valid:0.804, best:0.806, date:May11_10-05-04
epoch:41, train:0.769, valid:0.806, best:0.806, date:May11_10-10-51
epoch:42, train:0.778, valid:0.793, best:0.806, date:May11_10-16-37
epoch:43, train:0.780, valid:0.802, best:0.806, date:May11_10-22-23
epoch:44, train:0.781, valid:0.797, best:0.806, date:May11_10-28-09
