available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.825
loading data: May24_18-49-34
data loaded: May24_18-52-47
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-52-48
epoch:39, train:0.308, valid:0.305, threshold: [0.557923   1.48080165 2.45001796 3.16299956 3.75470744]score:0.839, best:0.849, date:May25_00-27-04
epoch:40, train:0.301, valid:0.315, threshold: [0.58899393 1.67865343 2.32019197 2.91577252 3.93384749]score:0.839, best:0.849, date:May25_00-35-25
epoch:41, train:0.299, valid:0.311, threshold: [0.65477343 1.91416653 1.40766584 2.62394547 3.59956586]score:0.845, best:0.849, date:May25_00-43-46
epoch:42, train:0.297, valid:0.334, threshold: [0.62060438 1.56716767 2.83931237 2.15074196 3.67333875]score:0.830, best:0.849, date:May25_00-52-07
epoch:43, train:0.297, valid:0.345, threshold: [0.65871282 1.52053733 2.62192841 1.81540917 3.59857242]score:0.833, best:0.849, date:May25_01-00-29
epoch:44, train:0.312, valid:0.312, threshold: [0.62582187 1.62359373 2.82002811 2.14781728 3.61622671]score:0.842, best:0.849, date:May25_01-08-49
epoch:45, train:0.319, valid:0.331, threshold: [0.62741918 1.67172106 2.28712451 2.80063266 3.59689985]score:0.830, best:0.849, date:May25_01-17-10
epoch:46, train:0.309, valid:0.328, threshold: [0.57186276 1.65636377 2.59145412 2.87498879 3.76265116]score:0.823, best:0.849, date:May25_01-25-32
epoch:47, train:0.305, valid:0.347, threshold: [0.66438885 1.84027655 2.41954257 1.3203587  3.48722069]score:0.831, best:0.849, date:May25_01-33-53
epoch:48, train:0.316, valid:0.325, threshold: [0.60215105 1.71255844 2.75711927 2.0650973  3.6431023 ]score:0.834, best:0.849, date:May25_01-42-14
epoch:49, train:0.312, valid:0.324, threshold: [0.63381337 1.69097195 2.08531865 2.95547114 3.64179549]score:0.832, best:0.849, date:May25_01-50-35
epoch:50, train:0.300, valid:0.314, threshold: [0.59286856 1.69273753 2.25967507 2.94422133 3.80808626]score:0.837, best:0.849, date:May25_01-58-56
epoch:51, train:0.301, valid:0.322, threshold: [0.59302694 1.66382859 2.19510936 2.84838913 3.71357869]score:0.833, best:0.849, date:May25_02-07-17
epoch:52, train:0.313, valid:0.320, threshold: [0.59739299 1.66005281 2.20430192 2.90100562 3.71570169]score:0.834, best:0.849, date:May25_02-15-38
epoch:53, train:0.299, valid:0.308, threshold: [0.59930369 1.67747532 2.62545837 2.28573366 3.73647165]score:0.844, best:0.849, date:May25_02-24-00
epoch:54, train:0.303, valid:0.308, threshold: [0.57607401 1.60591193 2.54199197 3.07095621 3.95507762]score:0.837, best:0.849, date:May25_02-32-21
epoch:55, train:0.307, valid:0.319, threshold: [0.64544717 1.68822192 2.17972642 2.98236647 3.79720955]score:0.837, best:0.849, date:May25_02-40-43
epoch:56, train:0.305, valid:0.311, threshold: [0.56578213 1.70019405 2.31755941 2.76326578 3.76252112]score:0.838, best:0.849, date:May25_02-49-03
epoch:57, train:0.294, valid:0.349, threshold: [0.72049398 1.38297373 2.45825088 1.89378777 3.59245133]score:0.823, best:0.849, date:May25_02-57-25
epoch:58, train:0.297, valid:0.322, threshold: [0.63945667 1.62554082 2.17452148 2.74962314 3.53489335]score:0.830, best:0.849, date:May25_03-05-46
epoch:59, train:0.292, valid:0.314, threshold: [0.64510139 1.68823777 2.37976134 2.71968054 3.75197169]score:0.834, best:0.849, date:May25_03-14-07
epoch:60, train:0.302, valid:0.296, threshold: [0.51317997 1.5342952  2.53425518 3.56042426 3.92170115]score:0.838, best:0.849, date:May25_03-22-28
epoch:61, train:0.319, valid:0.299, threshold: [0.6370811  1.64192385 2.43575058 2.86831702 3.75605828]score:0.844, best:0.849, date:May25_03-30-49
epoch:62, train:0.311, valid:0.299, threshold: [0.67120573 1.6362664  2.20769583 3.05808748 3.82277142]score:0.848, best:0.849, date:May25_03-39-10
epoch:63, train:0.315, valid:0.319, threshold: [0.58011717 1.62514171 2.45439263 2.99105012 3.82083538]score:0.835, best:0.849, date:May25_03-47-32
epoch:64, train:0.309, valid:0.328, threshold: [0.59221784 1.89897555 2.69700422 1.20781556 3.61794385]score:0.842, best:0.849, date:May25_03-55-53
epoch:65, train:0.322, valid:0.301, threshold: [0.53744652 1.5931436  2.35694424 3.31174407 4.05405122]score:0.840, best:0.849, date:May25_04-04-15
epoch:66, train:0.333, valid:0.315, threshold: [0.63748219 1.61828966 2.72435621 1.97988127 3.71944233]score:0.841, best:0.849, date:May25_04-12-36
epoch:67, train:0.328, valid:0.330, threshold: [0.60577741 1.64763862 2.40653603 3.04284545 3.84461777]score:0.828, best:0.849, date:May25_04-20-57
epoch:68, train:0.334, valid:0.325, threshold: [0.614756   1.64276467 2.15599809 3.00731163 3.60516287]score:0.835, best:0.849, date:May25_04-29-20
epoch:69, train:0.331, valid:0.328, threshold: [0.61040791 1.65402934 2.20816997 2.81528592 3.64538408]score:0.832, best:0.849, date:May25_04-37-40
epoch:70, train:0.330, valid:0.325, threshold: [0.63051346 1.64668607 2.16393973 2.94133069 3.60055442]score:0.833, best:0.849, date:May25_04-46-01
epoch:71, train:0.327, valid:0.310, threshold: [0.59214137 1.53703881 2.57131376 2.92233565 3.88864836]score:0.837, best:0.849, date:May25_04-54-23
epoch:72, train:0.345, valid:0.338, threshold: [0.59626971 1.67916453 2.33946583 2.82846748 3.63031694]score:0.823, best:0.849, date:May25_05-02-43
epoch:73, train:0.341, valid:0.360, threshold: [0.63225481 1.63622075 2.24617395 2.9411786  3.45265513]score:0.806, best:0.849, date:May25_05-11-04
epoch:74, train:0.339, valid:0.309, threshold: [0.66175622 1.46121896 2.12394977 2.90244672 3.82114528]score:0.840, best:0.849, date:May25_05-19-24
epoch:75, train:0.339, valid:0.306, threshold: [0.66399331 1.63473837 2.16857149 2.88915585 3.80360375]score:0.842, best:0.849, date:May25_05-27-45
epoch:76, train:0.335, valid:0.315, threshold: [0.58283924 1.53745522 2.26943811 2.92727842 3.76617937]score:0.839, best:0.849, date:May25_05-36-06
epoch:77, train:0.343, valid:0.316, threshold: [0.58959969 1.70761458 2.27373846 2.88539497 3.66659588]score:0.837, best:0.849, date:May25_05-44-27
epoch:78, train:0.332, valid:0.312, threshold: [0.57874674 1.59027337 2.61694002 2.9164824  3.82225411]score:0.833, best:0.849, date:May25_05-52-49
epoch:79, train:0.334, valid:0.308, threshold: [0.63024465 1.46485135 2.0785052  3.00615681 3.88735302]score:0.842, best:0.849, date:May25_06-01-10
epoch:80, train:0.337, valid:0.323, threshold: [0.62023215 1.60678967 2.18428916 2.74958442 3.60611937]score:0.836, best:0.849, date:May25_06-09-32
epoch:81, train:0.330, valid:0.342, threshold: [0.63414023 1.66125895 2.80806276 1.93387922 3.48488023]score:0.821, best:0.849, date:May25_06-17-52
epoch:82, train:0.335, valid:0.330, threshold: [0.65112752 1.59318374 2.37130596 2.84385717 3.59322623]score:0.830, best:0.849, date:May25_06-26-14
