available cuda: 2
load model from checkpoint, threshold: [0.5, 1.5, 2.5, 3.5, 4.5], valid score: 0.843
loading data: May24_18-48-43
data loaded: May24_18-51-57
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May24_18-51-58
epoch:00, train:0.371, valid:0.306, threshold: [0.58301817 1.71691171 2.39940806 2.99806886 3.66773443]score:0.859, best:0.859, date:May24_19-00-30
epoch:01, train:0.374, valid:0.300, threshold: [0.71086818 1.59292821 2.22276851 2.79397298 3.56867737]score:0.861, best:0.861, date:May24_19-08-53
epoch:02, train:0.378, valid:0.309, threshold: [0.56883666 1.58121428 2.18867642 2.89751083 4.81876204]score:0.845, best:0.861, date:May24_19-17-15
epoch:03, train:0.370, valid:0.308, threshold: [0.52872053 1.58315011 2.19519164 2.84797175 3.6797482 ]score:0.858, best:0.861, date:May24_19-25-38
epoch:04, train:0.384, valid:0.320, threshold: [0.60587125 1.63532442 2.48982811 3.09423135 3.59327417]score:0.849, best:0.861, date:May24_19-34-01
epoch:05, train:0.373, valid:0.302, threshold: [0.6043656  1.7898401  2.25758372 3.02379016 3.54183538]score:0.858, best:0.861, date:May24_19-42-24
epoch:06, train:0.374, valid:0.335, threshold: [0.5658409  1.58531095 2.04725902 2.78026249 5.0102538 ]score:0.839, best:0.861, date:May24_19-50-47
epoch:07, train:0.366, valid:0.294, threshold: [0.64911388 1.49414844 2.52121343 2.91049124 3.52621027]score:0.859, best:0.861, date:May24_19-59-10
epoch:08, train:0.379, valid:0.299, threshold: [0.69120784 1.96440531 2.56400491 3.07881913 3.64012297]score:0.858, best:0.861, date:May24_20-07-34
epoch:09, train:0.364, valid:0.291, threshold: [0.63600667 1.61101151 2.67977393 2.33825267 3.66193302]score:0.862, best:0.862, date:May24_20-15-59
epoch:10, train:0.363, valid:0.282, threshold: [0.56856445 1.64230299 2.46807205 3.06389478 3.95414795]score:0.862, best:0.862, date:May24_20-24-23
epoch:11, train:0.368, valid:0.285, threshold: [0.56048367 1.56718074 2.58233893 2.95012569 3.84625742]score:0.862, best:0.862, date:May24_20-32-47
epoch:12, train:0.363, valid:0.298, threshold: [0.59637798 2.00782536 2.68442749 1.4991014  3.63944221]score:0.863, best:0.863, date:May24_20-41-09
epoch:13, train:0.359, valid:0.296, threshold: [0.60541828 1.66101141 2.18345244 2.99722499 3.65777178]score:0.863, best:0.863, date:May24_20-49-32
epoch:14, train:0.353, valid:0.311, threshold: [0.68858966 1.57699671 2.22741534 2.7526528  3.38752777]score:0.861, best:0.863, date:May24_20-57-55
epoch:15, train:0.343, valid:0.314, threshold: [0.59627538 1.62999916 2.5511006  2.2763324  4.61404493]score:0.848, best:0.863, date:May24_21-06-17
epoch:16, train:0.350, valid:0.317, threshold: [0.65006263 1.63724775 2.31995515 2.82147168 3.68934685]score:0.860, best:0.863, date:May24_21-14-41
epoch:17, train:0.344, valid:0.291, threshold: [0.56927434 1.62182631 2.47401937 3.20765409 3.78355636]score:0.857, best:0.863, date:May24_21-23-04
epoch:18, train:0.352, valid:0.300, threshold: [0.66809457 1.91478326 2.50688029 2.99664733 3.59271087]score:0.859, best:0.863, date:May24_21-31-28
epoch:19, train:0.346, valid:0.302, threshold: [0.57393596 1.74570325 2.49919583 3.23579778 3.8488757 ]score:0.855, best:0.863, date:May24_21-39-50
