training started: May11_06-57-31
epoch:00, train:0.324, valid:0.597, best:0.597, date:May11_07-03-21
epoch:01, train:0.518, valid:0.635, best:0.635, date:May11_07-09-08
epoch:02, train:0.573, valid:0.698, best:0.698, date:May11_07-14-56
epoch:03, train:0.596, valid:0.740, best:0.740, date:May11_07-20-43
epoch:04, train:0.624, valid:0.746, best:0.746, date:May11_07-26-30
epoch:05, train:0.630, valid:0.734, best:0.746, date:May11_07-32-18
epoch:06, train:0.638, valid:0.728, best:0.746, date:May11_07-38-05
epoch:07, train:0.647, valid:0.731, best:0.746, date:May11_07-43-52
epoch:08, train:0.647, valid:0.719, best:0.746, date:May11_07-49-40
epoch:09, train:0.658, valid:0.736, best:0.746, date:May11_07-55-27
epoch:10, train:0.674, valid:0.765, best:0.765, date:May11_08-01-16
epoch:11, train:0.692, valid:0.725, best:0.765, date:May11_08-07-04
epoch:12, train:0.692, valid:0.727, best:0.765, date:May11_08-12-53
epoch:13, train:0.688, valid:0.768, best:0.768, date:May11_08-18-41
epoch:14, train:0.701, valid:0.761, best:0.768, date:May11_08-24-30
epoch:15, train:0.698, valid:0.740, best:0.768, date:May11_08-30-18
epoch:16, train:0.703, valid:0.748, best:0.768, date:May11_08-36-08
epoch:17, train:0.711, valid:0.765, best:0.768, date:May11_08-41-57
epoch:18, train:0.706, valid:0.771, best:0.771, date:May11_08-47-47
epoch:19, train:0.708, valid:0.785, best:0.785, date:May11_08-53-35
epoch:20, train:0.718, valid:0.765, best:0.785, date:May11_08-59-25
epoch:21, train:0.717, valid:0.740, best:0.785, date:May11_09-05-14
epoch:22, train:0.715, valid:0.778, best:0.785, date:May11_09-11-04
epoch:23, train:0.722, valid:0.739, best:0.785, date:May11_09-16-54
epoch:24, train:0.716, valid:0.777, best:0.785, date:May11_09-22-43
epoch:25, train:0.723, valid:0.766, best:0.785, date:May11_09-28-32
epoch:26, train:0.728, valid:0.772, best:0.785, date:May11_09-34-22
epoch:27, train:0.731, valid:0.768, best:0.785, date:May11_09-40-11
epoch:28, train:0.728, valid:0.777, best:0.785, date:May11_09-46-01
epoch:29, train:0.731, valid:0.733, best:0.785, date:May11_09-51-50
epoch:30, train:0.739, valid:0.776, best:0.785, date:May11_09-57-40
epoch:31, train:0.753, valid:0.790, best:0.790, date:May11_10-03-30
epoch:32, train:0.747, valid:0.793, best:0.793, date:May11_10-09-19
epoch:33, train:0.762, valid:0.798, best:0.798, date:May11_10-15-09
epoch:34, train:0.753, valid:0.789, best:0.798, date:May11_10-20-59
epoch:35, train:0.760, valid:0.788, best:0.798, date:May11_10-26-49
