training started: May03_14-39-51
epoch: 0, best score: 0.6641210869806771, date: May03_14-44-23
epoch: 1, best score: 0.6839586905491637, date: May03_14-48-45
epoch: 2, best score: 0.7101718235394023, date: May03_14-53-07
epoch: 4, best score: 0.7139456674241516, date: May03_15-01-49
epoch: 6, best score: 0.7228018189192921, date: May03_15-10-33
epoch: 7, best score: 0.7504931319322848, date: May03_15-14-56
epoch: 10, best score: 0.7561196862664921, date: May03_15-28-03
epoch: 11, best score: 0.7704184251586104, date: May03_15-32-25
epoch: 14, best score: 0.7793090350736999, date: May03_15-45-36
epoch: 16, best score: 0.7832742613135438, date: May03_15-54-23
epoch: 28, best score: 0.7878298047799852, date: May03_16-47-05
