available cuda: cuda
loading data: May14_05-33-22
training started: May14_05-35-48
epoch:00, train:0.190, valid:0.271, best:0.271, date:May14_05-52-25
epoch:01, train:0.200, valid:0.080, best:0.271, date:May14_06-08-55
epoch:02, train:0.121, valid:0.019, best:0.271, date:May14_06-25-25
epoch:03, train:0.111, valid:0.227, best:0.271, date:May14_06-41-54
epoch:04, train:0.238, valid:0.437, best:0.437, date:May14_06-58-25
epoch:05, train:0.282, valid:0.319, best:0.437, date:May14_07-14-55
epoch:06, train:0.239, valid:0.440, best:0.440, date:May14_07-31-25
epoch:07, train:0.289, valid:0.548, best:0.548, date:May14_07-47-57
epoch:08, train:0.389, valid:0.536, best:0.548, date:May14_08-04-29
epoch:09, train:0.390, valid:0.633, best:0.633, date:May14_08-21-01
epoch:10, train:0.450, valid:0.555, best:0.633, date:May14_08-37-33
epoch:11, train:0.448, valid:0.607, best:0.633, date:May14_08-54-05
epoch:12, train:0.464, valid:0.503, best:0.633, date:May14_09-10-37
