training started: May03_15-12-23
epoch: 0, best score: 0.693672112516147, date: May03_15-20-11
epoch: 2, best score: 0.7102309432255542, date: May03_15-35-42
epoch: 6, best score: 0.7530927723780166, date: May03_16-06-46
epoch: 8, best score: 0.7545093972632787, date: May03_16-22-18
epoch: 10, best score: 0.772441062905614, date: May03_16-37-49
epoch: 11, best score: 0.7876689731788785, date: May03_16-45-36
epoch: 16, best score: 0.7879947609520508, date: May03_17-24-28
epoch: 19, best score: 0.79454343789178, date: May03_17-47-46
epoch: 24, best score: 0.79606168920215, date: May03_18-26-36
epoch: 29, best score: 0.8041261734808105, date: May03_19-05-27
epoch: 36, best score: 0.8098859121227433, date: May03_19-59-54
epoch: 39, best score: 0.8116126522609335, date: May03_20-23-14
epoch: 40, best score: 0.815417734466443, date: May03_20-31-00
