training started: May03_15-16-00
epoch: 0, best score: 0.6411419592736674, date: May03_15-23-49
epoch: 1, best score: 0.6788059387260161, date: May03_15-31-35
epoch: 2, best score: 0.7041714621200013, date: May03_15-39-23
epoch: 5, best score: 0.7433449507687578, date: May03_16-02-47
epoch: 10, best score: 0.7599563489596386, date: May03_16-41-41
epoch: 13, best score: 0.769952374854598, date: May03_17-05-02
epoch: 17, best score: 0.7719110002518462, date: May03_17-36-13
epoch: 22, best score: 0.7753842393013977, date: May03_18-15-07
epoch: 24, best score: 0.7821765332849113, date: May03_18-30-41
epoch: 27, best score: 0.7831685765754561, date: May03_18-54-01
epoch: 31, best score: 0.7901551074784334, date: May03_19-25-09
epoch: 32, best score: 0.7956154799707925, date: May03_19-32-59
epoch: 42, best score: 0.7960879752385783, date: May03_20-50-53
epoch: 50, best score: 0.8015288753858894, date: May03_21-53-08
epoch: 64, best score: 0.8030029370462708, date: May03_23-42-10
training finished: May04_04-14-44
