Loaded pretrained weights for efficientnet-b5
training started: Apr30_13-07-48
epoch: 0, best score: 0.45782843393990513, date: Apr30_13-14-57
epoch: 1, best score: 0.6027161327418222, date: Apr30_13-22-05
epoch: 3, best score: 0.672352809499126, date: Apr30_13-36-20
epoch: 5, best score: 0.6806671414137726, date: Apr30_13-50-36
epoch: 10, best score: 0.7137943638106179, date: Apr30_14-26-15
epoch: 13, best score: 0.7144380129105788, date: Apr30_14-47-37
epoch: 16, best score: 0.7297128482341946, date: Apr30_15-09-01
epoch: 19, best score: 0.7424383292467724, date: Apr30_15-30-25
epoch: 24, best score: 0.7492158813004783, date: Apr30_16-06-05
epoch: 30, best score: 0.7543261985048632, date: Apr30_16-48-52
epoch: 35, best score: 0.7652398233661408, date: Apr30_17-24-31
epoch: 42, best score: 0.7675481026195478, date: Apr30_18-25-16
epoch: 50, best score: 0.7700630378146258, date: Apr30_19-22-17
epoch: 60, best score: 0.7822528171585944, date: Apr30_20-33-35
epoch: 61, best score: 0.785172612409746, date: Apr30_20-40-44
epoch: 71, best score: 0.7855333833445299, date: Apr30_21-52-01
epoch: 82, best score: 0.7860618881667285, date: Apr30_23-10-27
epoch: 166, best score: 0.7874976263593251, date: May01_09-21-15
training finished: May01_13-16-36
