training started: May09_03-08-21
epoch: 0, best score: 0.46724698848149115, date: May09_03-12-42
epoch: 1, best score: 0.6581481134697104, date: May09_03-17-00
epoch: 2, best score: 0.7114819369565103, date: May09_03-21-20
epoch: 3, best score: 0.7307310453993581, date: May09_03-25-39
epoch: 7, best score: 0.7674245777744749, date: May09_03-42-54
epoch: 10, best score: 0.774684571716637, date: May09_03-55-52
epoch: 11, best score: 0.7785256131702746, date: May09_04-00-11
epoch: 12, best score: 0.7914803353136441, date: May09_04-04-31
epoch: 13, best score: 0.7935637108179089, date: May09_04-08-52
epoch: 17, best score: 0.8041341488721442, date: May09_04-26-13
epoch: 23, best score: 0.8063222109509962, date: May09_04-52-14
epoch: 26, best score: 0.8089729618127034, date: May09_05-05-15
epoch: 30, best score: 0.8114390147789365, date: May09_05-22-37
epoch: 31, best score: 0.8286665379581983, date: May09_05-26-58
epoch: 36, best score: 0.8290199485508408, date: May09_05-48-39
epoch: 44, best score: 0.8363355024190602, date: May09_06-23-21
training finished: May09_10-21-56
