available cuda: 2
loading data: May23_06-03-45
data loaded: May23_06-07-25
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May23_06-07-26
epoch:00, train:0.285, valid:0.522, best:0.522, date:May23_06-19-27
epoch:01, train:0.430, valid:0.626, best:0.626, date:May23_06-31-15
epoch:02, train:0.486, valid:0.577, best:0.626, date:May23_06-43-03
epoch:03, train:0.515, valid:0.634, best:0.634, date:May23_06-54-52
epoch:04, train:0.554, valid:0.648, best:0.648, date:May23_07-06-41
epoch:05, train:0.562, valid:0.688, best:0.688, date:May23_07-18-30
epoch:06, train:0.567, valid:0.695, best:0.695, date:May23_07-30-19
epoch:07, train:0.594, valid:0.694, best:0.695, date:May23_07-42-08
epoch:08, train:0.580, valid:0.727, best:0.727, date:May23_07-53-58
epoch:09, train:0.592, valid:0.593, best:0.727, date:May23_08-05-48
epoch:10, train:0.613, valid:0.723, best:0.727, date:May23_08-17-37
epoch:11, train:0.618, valid:0.722, best:0.727, date:May23_08-29-27
epoch:12, train:0.632, valid:0.700, best:0.727, date:May23_08-41-18
epoch:13, train:0.637, valid:0.617, best:0.727, date:May23_08-53-08
epoch:14, train:0.620, valid:0.579, best:0.727, date:May23_09-04-58
epoch:15, train:0.667, valid:0.631, best:0.727, date:May23_09-16-49
epoch:16, train:0.672, valid:0.793, best:0.793, date:May23_09-28-40
epoch:17, train:0.661, valid:0.677, best:0.793, date:May23_09-40-31
epoch:18, train:0.675, valid:0.710, best:0.793, date:May23_09-52-21
epoch:19, train:0.687, valid:0.736, best:0.793, date:May23_10-04-11
epoch:20, train:0.682, valid:0.788, best:0.793, date:May23_10-16-01
epoch:21, train:0.697, valid:0.730, best:0.793, date:May23_10-27-51
epoch:22, train:0.693, valid:0.777, best:0.793, date:May23_10-39-40
epoch:23, train:0.674, valid:0.795, best:0.795, date:May23_10-51-30
epoch:24, train:0.695, valid:0.726, best:0.795, date:May23_11-03-18
epoch:25, train:0.693, valid:0.768, best:0.795, date:May23_11-15-07
epoch:26, train:0.689, valid:0.810, best:0.810, date:May23_11-26-57
epoch:27, train:0.693, valid:0.798, best:0.810, date:May23_11-38-46
epoch:28, train:0.702, valid:0.662, best:0.810, date:May23_11-50-34
epoch:29, train:0.698, valid:0.809, best:0.810, date:May23_12-02-22
epoch:30, train:0.711, valid:0.791, best:0.810, date:May23_12-14-10
epoch:31, train:0.721, valid:0.799, best:0.810, date:May23_12-25-59
epoch:32, train:0.721, valid:0.769, best:0.810, date:May23_12-37-48
epoch:33, train:0.725, valid:0.774, best:0.810, date:May23_12-49-37
epoch:34, train:0.728, valid:0.778, best:0.810, date:May23_13-01-26
epoch:35, train:0.726, valid:0.763, best:0.810, date:May23_13-13-14
epoch:36, train:0.720, valid:0.784, best:0.810, date:May23_13-25-03
epoch:37, train:0.730, valid:0.761, best:0.810, date:May23_13-36-53
epoch:38, train:0.731, valid:0.766, best:0.810, date:May23_13-48-43
epoch:39, train:0.732, valid:0.779, best:0.810, date:May23_14-00-32
epoch:40, train:0.730, valid:0.798, best:0.810, date:May23_14-12-20
epoch:41, train:0.730, valid:0.808, best:0.810, date:May23_14-24-08
epoch:42, train:0.741, valid:0.799, best:0.810, date:May23_14-35-57
epoch:43, train:0.739, valid:0.803, best:0.810, date:May23_14-47-45
epoch:44, train:0.738, valid:0.807, best:0.810, date:May23_14-59-33
