available cuda: 2
loading data: May23_05-58-24
data loaded: May23_06-06-00
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May23_06-06-01
epoch:00, train:0.281, valid:0.367, best:0.367, date:May23_06-18-08
epoch:01, train:0.417, valid:0.597, best:0.597, date:May23_06-29-58
epoch:02, train:0.454, valid:0.587, best:0.597, date:May23_06-41-47
epoch:03, train:0.513, valid:0.685, best:0.685, date:May23_06-53-36
epoch:04, train:0.531, valid:0.588, best:0.685, date:May23_07-05-25
epoch:05, train:0.538, valid:0.613, best:0.685, date:May23_07-17-13
epoch:06, train:0.544, valid:0.492, best:0.685, date:May23_07-29-02
epoch:07, train:0.539, valid:0.621, best:0.685, date:May23_07-40-51
epoch:08, train:0.567, valid:0.715, best:0.715, date:May23_07-52-40
epoch:09, train:0.585, valid:0.662, best:0.715, date:May23_08-04-28
epoch:10, train:0.607, valid:0.632, best:0.715, date:May23_08-16-18
epoch:11, train:0.601, valid:0.558, best:0.715, date:May23_08-28-07
epoch:12, train:0.615, valid:0.633, best:0.715, date:May23_08-39-56
epoch:13, train:0.607, valid:0.716, best:0.716, date:May23_08-51-48
epoch:14, train:0.619, valid:0.682, best:0.716, date:May23_09-03-38
epoch:15, train:0.644, valid:0.676, best:0.716, date:May23_09-15-29
epoch:16, train:0.653, valid:0.690, best:0.716, date:May23_09-27-19
epoch:17, train:0.668, valid:0.726, best:0.726, date:May23_09-39-10
epoch:18, train:0.663, valid:0.745, best:0.745, date:May23_09-51-01
epoch:19, train:0.672, valid:0.788, best:0.788, date:May23_10-02-52
epoch:20, train:0.666, valid:0.758, best:0.788, date:May23_10-14-43
epoch:21, train:0.677, valid:0.771, best:0.788, date:May23_10-26-33
epoch:22, train:0.682, valid:0.742, best:0.788, date:May23_10-38-23
epoch:23, train:0.680, valid:0.724, best:0.788, date:May23_10-50-13
epoch:24, train:0.680, valid:0.780, best:0.788, date:May23_11-02-03
epoch:25, train:0.688, valid:0.763, best:0.788, date:May23_11-13-54
epoch:26, train:0.687, valid:0.772, best:0.788, date:May23_11-25-44
epoch:27, train:0.682, valid:0.837, best:0.837, date:May23_11-37-35
epoch:28, train:0.698, valid:0.777, best:0.837, date:May23_11-49-23
epoch:29, train:0.690, valid:0.744, best:0.837, date:May23_12-01-13
epoch:30, train:0.704, valid:0.798, best:0.837, date:May23_12-13-02
epoch:31, train:0.712, valid:0.781, best:0.837, date:May23_12-24-51
epoch:32, train:0.715, valid:0.807, best:0.837, date:May23_12-36-40
epoch:33, train:0.712, valid:0.780, best:0.837, date:May23_12-48-30
epoch:34, train:0.723, valid:0.802, best:0.837, date:May23_13-00-19
epoch:35, train:0.732, valid:0.781, best:0.837, date:May23_13-12-09
epoch:36, train:0.730, valid:0.807, best:0.837, date:May23_13-23-58
epoch:37, train:0.728, valid:0.798, best:0.837, date:May23_13-35-48
epoch:38, train:0.733, valid:0.816, best:0.837, date:May23_13-47-38
epoch:39, train:0.728, valid:0.808, best:0.837, date:May23_13-59-27
epoch:40, train:0.735, valid:0.806, best:0.837, date:May23_14-11-15
epoch:41, train:0.732, valid:0.774, best:0.837, date:May23_14-23-05
epoch:42, train:0.728, valid:0.818, best:0.837, date:May23_14-34-54
epoch:43, train:0.730, valid:0.819, best:0.837, date:May23_14-46-43
epoch:44, train:0.744, valid:0.793, best:0.837, date:May23_14-58-32
epoch:45, train:0.739, valid:0.815, best:0.837, date:May23_15-10-21
epoch:46, train:0.737, valid:0.799, best:0.837, date:May23_15-22-10
epoch:47, train:0.743, valid:0.824, best:0.837, date:May23_15-34-00
epoch:48, train:0.746, valid:0.829, best:0.837, date:May23_15-45-49
epoch:49, train:0.747, valid:0.811, best:0.837, date:May23_15-57-39
epoch:50, train:0.748, valid:0.833, best:0.837, date:May23_16-09-28
epoch:51, train:0.752, valid:0.827, best:0.837, date:May23_16-21-18
epoch:52, train:0.745, valid:0.836, best:0.837, date:May23_16-33-07
epoch:53, train:0.741, valid:0.804, best:0.837, date:May23_16-44-56
epoch:54, train:0.750, valid:0.784, best:0.837, date:May23_16-56-45
epoch:55, train:0.754, valid:0.833, best:0.837, date:May23_17-08-34
epoch:56, train:0.750, valid:0.811, best:0.837, date:May23_17-20-23
epoch:57, train:0.754, valid:0.802, best:0.837, date:May23_17-32-12
