training started: May05_23-20-44
epoch: 0, best score: 0.5394562436109949, date: May05_23-23-56
epoch: 1, best score: 0.6350650877354859, date: May05_23-27-08
epoch: 2, best score: 0.6463622891066357, date: May05_23-30-20
epoch: 3, best score: 0.6917663800045121, date: May05_23-33-29
epoch: 5, best score: 0.6953712188637075, date: May05_23-39-46
epoch: 6, best score: 0.7244406732042454, date: May05_23-42-56
epoch: 8, best score: 0.7315184495275808, date: May05_23-49-15
epoch: 11, best score: 0.7402247306595002, date: May05_23-58-49
epoch: 13, best score: 0.7433620305260458, date: May06_00-05-09
epoch: 16, best score: 0.7459079351488129, date: May06_00-14-41
epoch: 17, best score: 0.7473511043466776, date: May06_00-17-50
epoch: 18, best score: 0.7489092014283338, date: May06_00-20-59
epoch: 20, best score: 0.7539620910204065, date: May06_00-27-19
epoch: 23, best score: 0.7674666740608665, date: May06_00-36-52
epoch: 29, best score: 0.7697583634386227, date: May06_00-55-57
epoch: 31, best score: 0.7710926852633633, date: May06_01-02-18
epoch: 35, best score: 0.7737383225852025, date: May06_01-14-57
epoch: 36, best score: 0.7781044175027794, date: May06_01-18-08
epoch: 42, best score: 0.7817132903901889, date: May06_01-37-16
epoch: 43, best score: 0.7838707203005963, date: May06_01-40-26
epoch: 57, best score: 0.7847114178676403, date: May06_02-24-37
epoch: 72, best score: 0.786244956651003, date: May06_03-11-58
epoch: 78, best score: 0.7874073725009719, date: May06_03-30-58
training finished: May06_04-37-05
