available cuda: 2
loading data: May23_05-52-58
data loaded: May23_05-56-20
mean: [0.81036124 0.61035397 0.74000449]
std: [0.16581212 0.26087577 0.17437672]
training started: May23_05-56-21
epoch:00, train:0.217, valid:0.308, best:0.308, date:May23_06-08-20
epoch:01, train:0.441, valid:0.565, best:0.565, date:May23_06-20-08
epoch:02, train:0.492, valid:0.375, best:0.565, date:May23_06-31-55
epoch:03, train:0.512, valid:0.625, best:0.625, date:May23_06-43-43
epoch:04, train:0.501, valid:0.708, best:0.708, date:May23_06-55-30
epoch:05, train:0.525, valid:0.630, best:0.708, date:May23_07-07-18
epoch:06, train:0.558, valid:0.582, best:0.708, date:May23_07-19-06
epoch:07, train:0.572, valid:0.660, best:0.708, date:May23_07-30-53
epoch:08, train:0.592, valid:0.685, best:0.708, date:May23_07-42-41
epoch:09, train:0.598, valid:0.711, best:0.711, date:May23_07-54-28
epoch:10, train:0.615, valid:0.613, best:0.711, date:May23_08-06-17
epoch:11, train:0.618, valid:0.724, best:0.724, date:May23_08-18-06
epoch:12, train:0.636, valid:0.510, best:0.724, date:May23_08-29-55
epoch:13, train:0.627, valid:0.685, best:0.724, date:May23_08-41-45
epoch:14, train:0.634, valid:0.759, best:0.759, date:May23_08-53-36
epoch:15, train:0.659, valid:0.703, best:0.759, date:May23_09-05-25
epoch:16, train:0.661, valid:0.742, best:0.759, date:May23_09-17-14
epoch:17, train:0.669, valid:0.755, best:0.759, date:May23_09-29-03
epoch:18, train:0.681, valid:0.718, best:0.759, date:May23_09-40-53
epoch:19, train:0.686, valid:0.775, best:0.775, date:May23_09-52-42
epoch:20, train:0.680, valid:0.747, best:0.775, date:May23_10-04-31
epoch:21, train:0.688, valid:0.761, best:0.775, date:May23_10-16-20
epoch:22, train:0.689, valid:0.724, best:0.775, date:May23_10-28-08
epoch:23, train:0.688, valid:0.731, best:0.775, date:May23_10-39-56
epoch:24, train:0.696, valid:0.734, best:0.775, date:May23_10-51-44
epoch:25, train:0.698, valid:0.760, best:0.775, date:May23_11-03-31
epoch:26, train:0.692, valid:0.812, best:0.812, date:May23_11-15-19
epoch:27, train:0.706, valid:0.779, best:0.812, date:May23_11-27-07
epoch:28, train:0.700, valid:0.744, best:0.812, date:May23_11-38-55
epoch:29, train:0.705, valid:0.733, best:0.812, date:May23_11-50-42
epoch:30, train:0.714, valid:0.734, best:0.812, date:May23_12-02-28
epoch:31, train:0.717, valid:0.767, best:0.812, date:May23_12-14-16
epoch:32, train:0.716, valid:0.778, best:0.812, date:May23_12-26-04
epoch:33, train:0.733, valid:0.714, best:0.812, date:May23_12-37-51
epoch:34, train:0.727, valid:0.779, best:0.812, date:May23_12-49-38
epoch:35, train:0.720, valid:0.738, best:0.812, date:May23_13-01-25
epoch:36, train:0.721, valid:0.765, best:0.812, date:May23_13-13-12
epoch:37, train:0.735, valid:0.791, best:0.812, date:May23_13-25-00
epoch:38, train:0.743, valid:0.811, best:0.812, date:May23_13-36-48
epoch:39, train:0.734, valid:0.796, best:0.812, date:May23_13-48-36
epoch:40, train:0.731, valid:0.756, best:0.812, date:May23_14-00-23
epoch:41, train:0.737, valid:0.778, best:0.812, date:May23_14-12-11
epoch:42, train:0.736, valid:0.801, best:0.812, date:May23_14-23-58
epoch:43, train:0.747, valid:0.834, best:0.834, date:May23_14-35-46
epoch:44, train:0.747, valid:0.775, best:0.834, date:May23_14-47-33
epoch:45, train:0.746, valid:0.811, best:0.834, date:May23_14-59-21
epoch:46, train:0.755, valid:0.798, best:0.834, date:May23_15-11-08
epoch:47, train:0.751, valid:0.786, best:0.834, date:May23_15-22-55
epoch:48, train:0.754, valid:0.776, best:0.834, date:May23_15-34-44
epoch:49, train:0.746, valid:0.792, best:0.834, date:May23_15-46-31
epoch:50, train:0.760, valid:0.813, best:0.834, date:May23_15-58-18
epoch:51, train:0.754, valid:0.801, best:0.834, date:May23_16-10-05
epoch:52, train:0.763, valid:0.762, best:0.834, date:May23_16-21-53
epoch:53, train:0.770, valid:0.765, best:0.834, date:May23_16-33-42
epoch:54, train:0.755, valid:0.818, best:0.834, date:May23_16-45-29
epoch:55, train:0.757, valid:0.804, best:0.834, date:May23_16-57-17
epoch:56, train:0.764, valid:0.797, best:0.834, date:May23_17-09-05
epoch:57, train:0.765, valid:0.751, best:0.834, date:May23_17-20-52
epoch:58, train:0.762, valid:0.780, best:0.834, date:May23_17-32-40
epoch:59, train:0.773, valid:0.787, best:0.834, date:May23_17-44-28
epoch:60, train:0.770, valid:0.800, best:0.834, date:May23_17-56-15
epoch:61, train:0.773, valid:0.786, best:0.834, date:May23_18-08-02
epoch:62, train:0.770, valid:0.807, best:0.834, date:May23_18-19-50
epoch:63, train:0.770, valid:0.769, best:0.834, date:May23_18-31-38
epoch:64, train:0.776, valid:0.806, best:0.834, date:May23_18-43-25
epoch:65, train:0.767, valid:0.790, best:0.834, date:May23_18-55-13
epoch:66, train:0.776, valid:0.776, best:0.834, date:May23_19-07-00
epoch:67, train:0.771, valid:0.784, best:0.834, date:May23_19-18-48
epoch:68, train:0.770, valid:0.802, best:0.834, date:May23_19-30-35
epoch:69, train:0.765, valid:0.798, best:0.834, date:May23_19-42-24
epoch:70, train:0.773, valid:0.804, best:0.834, date:May23_19-54-11
epoch:71, train:0.773, valid:0.791, best:0.834, date:May23_20-05-59
epoch:72, train:0.781, valid:0.786, best:0.834, date:May23_20-17-47
epoch:73, train:0.767, valid:0.786, best:0.834, date:May23_20-29-34
epoch:74, train:0.779, valid:0.816, best:0.834, date:May23_20-41-21
epoch:75, train:0.779, valid:0.810, best:0.834, date:May23_20-53-09
epoch:76, train:0.781, valid:0.789, best:0.834, date:May23_21-04-56
epoch:77, train:0.779, valid:0.812, best:0.834, date:May23_21-16-43
epoch:78, train:0.783, valid:0.788, best:0.834, date:May23_21-28-30
epoch:79, train:0.781, valid:0.800, best:0.834, date:May23_21-40-17
epoch:80, train:0.772, valid:0.801, best:0.834, date:May23_21-52-05
epoch:81, train:0.787, valid:0.800, best:0.834, date:May23_22-03-53
epoch:82, train:0.785, valid:0.797, best:0.834, date:May23_22-15-41
epoch:83, train:0.773, valid:0.796, best:0.834, date:May23_22-27-28
epoch:84, train:0.776, valid:0.777, best:0.834, date:May23_22-39-15
epoch:85, train:0.775, valid:0.781, best:0.834, date:May23_22-51-03
epoch:86, train:0.779, valid:0.806, best:0.834, date:May23_23-02-50
epoch:87, train:0.793, valid:0.807, best:0.834, date:May23_23-14-38
epoch:88, train:0.772, valid:0.801, best:0.834, date:May23_23-26-25
epoch:89, train:0.778, valid:0.797, best:0.834, date:May23_23-38-12
epoch:90, train:0.784, valid:0.800, best:0.834, date:May23_23-49-59
epoch:91, train:0.786, valid:0.812, best:0.834, date:May24_00-01-47
epoch:92, train:0.780, valid:0.800, best:0.834, date:May24_00-13-34
epoch:93, train:0.786, valid:0.796, best:0.834, date:May24_00-25-21
epoch:94, train:0.785, valid:0.806, best:0.834, date:May24_00-37-08
epoch:95, train:0.783, valid:0.752, best:0.834, date:May24_00-48-55
epoch:96, train:0.780, valid:0.792, best:0.834, date:May24_01-00-42
epoch:97, train:0.787, valid:0.769, best:0.834, date:May24_01-12-29
epoch:98, train:0.788, valid:0.801, best:0.834, date:May24_01-24-17
